Index,MDS1,MDS2,decade,decade10,samID,age
MBS1543,0.028995406,-0.017935263,81-100,81-90,MBS1543,87
MBS1548,0.055512528,-0.049741786,81-100,81-90,MBS1548,87
MBS1549,0.03122627,-0.021517847,81-100,81-90,MBS1549,87
MBS1550,0.055325522,-0.057513857,81-100,81-90,MBS1550,87
MBS1560,0.002566192,-0.022628868,81-100,81-90,MBS1560,87
MBS1561,-0.074711812,-0.08911681,81-100,81-90,MBS1561,87
MBS1566,-0.067166877,-0.0545847,81-100,81-90,MBS1566,87
MBS1567,0.011120662,-0.00576823,81-100,81-90,MBS1567,87
MBS1568,0.045249974,-0.020094962,81-100,81-90,MBS1568,87
MBS1439,0.029835421,0.009757265,81-100,81-90,MBS1439,87
MBS1440,0.043002953,-0.01852394,81-100,81-90,MBS1440,87
MBS1450,0.046459676,-0.060521928,81-100,81-90,MBS1450,87
MBS1460,0.046216485,-0.080205579,81-100,81-90,MBS1460,87
MBS1461,-0.026294483,0.010308447,81-100,81-90,MBS1461,87
MBS1473,0.021149226,0.028135233,81-100,81-90,MBS1473,87
MBS1474,0.029470219,0.027484331,81-100,81-90,MBS1474,87
MBS1479,0.044339194,-0.03333662,81-100,81-90,MBS1479,87
MBS1482,0.063562814,-0.058333962,81-100,81-90,MBS1482,87
MBS1489,0.034546506,-0.002193278,81-100,81-90,MBS1489,87
MBS1495,0.026274903,0.011746346,81-100,81-90,MBS1495,87
MBS1496,0.048183442,-0.023090764,81-100,81-90,MBS1496,87
MBS1497,-0.092749048,-0.089119308,81-100,81-90,MBS1497,87
MBS1499,0.019761194,-0.008009224,81-100,81-90,MBS1499,87
MBS1500,0.03076594,-0.005407481,81-100,81-90,MBS1500,87
MBS1507,0.050299236,-0.005372953,81-100,81-90,MBS1507,87
MBS1510,0.05063262,-0.00930096,81-100,81-90,MBS1510,87
MBS1514,0.031748065,-0.048865996,81-100,81-90,MBS1514,87
MBS1516,-0.022182959,0.009246037,81-100,81-90,MBS1516,87
MBS1523,0.050292476,-0.07353834,81-100,81-90,MBS1523,87
MBS1527,0.02044096,-0.007527407,81-100,81-90,MBS1527,87
MBS1261,0.04986685,-0.017459978,81-100,81-90,MBS1261,87
MBS1253,0.037189716,0.015063458,81-100,81-90,MBS1253,87
MBS1262,0.050523047,-0.008435414,81-100,81-90,MBS1262,87
MBS1219,0.01420106,-0.031030905,81-100,81-90,MBS1219,87
MBS1238,0.038739092,-0.001151856,81-100,81-90,MBS1238,87
MBS1237,0.038758256,-0.040508224,81-100,81-90,MBS1237,87
MBS1533,0.034304641,-0.02235699,81-100,81-90,MBS1533,88
MBS1542,0.019749365,-0.017750554,81-100,81-90,MBS1542,88
MBS1557,-0.004771507,-0.011032305,81-100,81-90,MBS1557,88
MBS1558,0.027758024,-0.010492283,81-100,81-90,MBS1558,88
MBS1590,-0.005431024,-0.010085817,81-100,81-90,MBS1590,88
MBS1433,0.060884556,-0.038968737,81-100,81-90,MBS1433,88
MBS1444,0.03395515,-0.005187357,81-100,81-90,MBS1444,88
MBS1459,0.06451495,-0.092114817,81-100,81-90,MBS1459,88
