org_list	MBE035	MBE036	MBE037	MBE038	MBM135	MBM137	MBS1533	MBS1558	MBS1559	MBS1563	MBS1567	MBS1579	MBS1587	MBS1592	MBS1594	MBS1605	MHS232	MHS236	MHS238	MHS239	MHS243	MHS246	MHS253	MHS266	MHS267	MHS276	MHS279	MHS283	MHS287	MHS289
Parabacteroides unclassified	0.20686648327281698	1.2685485021143146	0	0.5393062384419773	0.30035775964432443	0	0	0	0	0	1.3938397610705173	0	0.5655014955890383	0.11081594020323157	0	0.5440761797700293	0.45337984107388885	0.7144522806263358	0	0	0.13884822495879237	0	0	0	0.7521237869003915	5.282206079663808	5.131529406892963	0	0.389067457929356	0
Eubacterium ramulus	0.1727593920608113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6476318404611725	0.19649440077902205	0.6884532421782426	0	0	0	0	0	0	0	0
Parabacteroides distasonis	0.1575860832554703	2.242150796381937	0.5017200334750954	0.17135786288846694	0.15470741900932322	0.6586934697723258	0.13653299864510177	0.10206019297754323	0	0.37177419542352286	2.2353076010368906	0	1.9529478614909237	0	0	0.7579089127389051	0.20429032897634372	0.7123535447345047	0	0	0.22778428400659323	0.21642639373697045	0.16600934613095347	0	0.13593332153451723	0	6.4618697090679635	0	0.3237260271527918	0
Lachnospiraceae bacterium 1 4 56FAA	0.13902632644893728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12709435751387035	0	0	0	0	0
Lactococcus garvieae	0.1366204320480904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40202451972406184	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium leptum	0.13467954244740718	0	0	0.66782211133364	0	0	0	0	0	0.3338941706716006	0	0	0	0.28826351624661134	0	0	0	0.10376069138646345	0	0	0	0	0	0.5270826042994323	0	0	0	0	1.1736310620426214	0
Lachnospiraceae bacterium 8 1 57FAA	0.12332736004341124	0	0	0	0	0	0	0	0	0	0	0	0	0.12309499584846144	0.4431945572115561	0	0	0	0	0	0.36199210301984275	0	0.5142840264028806	0	0	0	0	0.1689496913675725	0	0
Bilophila wadsworthia	0.11165169603930139	0	0	0	0	0	0	0	0	0	0	0	0	0.1114451149553012	0	0	0	0	0	0	0	0	0	0	0	0	0.13281290988924485	0	0	0
Dorea formicigenerans	0.10590989763728027	0	0.19889172928007104	0.5261901071655576	0.5004414442213214	0.982215744716772	0	0	0	0	0	0	0	0.3374609226665075	0.15119755890994935	0	0	0.6532847751412337	0.24879235516167839	1.941608224751045	1.2486735920260235	0.5501640871971818	0.7803986975787378	1.3824111321670014	0.3580744494472146	0	0	0.3288615043194791	0.3895237528370136	0
Streptococcus parasanguinis	0	0.464049102947439	0.18899591071045574	0	0	0	0.2871590663638327	0	0	0	0	0.6111020791926262	0.2070341707664368	0	0	0.6673964719065955	0	0	0	0	0	0	0.1801612610195772	1.109912764286876	0.38722983823173635	0.16696727033697895	0	0.38565658366982747	0	0
Citrobacter freundii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3677772391030385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides uniformis	0	0	0	0.6723153202774482	1.028286356344438	2.8094058511180466	0.7159954084003691	5.74332392029583	0.15992258813767865	4.285669370972214	0	7.2116483539176715	3.4645959351427975	0	0.702075365529809	5.085682311752687	1.2968556321099154	8.198635720282102	1.311194541627041	2.123289365226935	1.2278878085313913	4.52071274497596	0	0.37330607128236476	0.2985459041600569	5.751684813922493	0	0	1.4134495256206043	0
Citrobacter unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1466452460009977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gordonibacter pamelaeae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16580742955592467	0
Veillonella unclassified	0	0	0	0	0	0	0.24237419737005741	0.10850780196057842	0	0	0.24735642256745832	0.11720348318467111	0.10610657874362169	0	0	0	0	0	0	0	0	0	0	0	0.13213794547972743	0.1121358688213227	0	0	0	0
Lachnospiraceae bacterium 5 1 63FAA	0	0	0	0	0	0.6185637553836797	0	0	0	0	0	0	0	0	0	0	0	0	1.7571876163610236	0.4713938361399103	1.185032294799025	0.6019610127212767	0.31239416411042015	0	0.12215225019118954	0	0	0	0	0
Eggerthella lenta	0	0.48977536923382126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6661306610105565	0.11290125196304716	0	0	0	0	0	0	0	0.40300184916899956	0	0	0
Ruminococcus gnavus	0	17.704854705476023	0.14683200202061644	0	0.21654192064181874	0	0	0	1.7410367547133303	0	0	0	0	0	0	0	3.5008947224241602	0.11438617551515348	7.848152936120238	0.20908940893420352	1.018655038490095	0	0.13942519150100127	0	11.445017381604563	20.423435296321735	1.524996547507602	0.10960702212824446	0.1579794369178881	0
